City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,9.34,96,100,1.34,NZ,1689533557
1,udachny,66.4167,112.4,11.36,53,99,3.34,RU,1689533587
2,adamstown,-25.066,-130.1015,20.79,79,100,3.15,PN,1689533557
3,blackmans bay,-43.0167,147.3167,12.07,64,40,5.78,AU,1689533733
4,saucillo,28.0167,-105.2833,35.1,21,2,2.11,MX,1689533733
5,hithadhoo,-0.6,73.0833,27.43,76,1,0.69,MV,1689533686
6,atafu village,-8.5421,-172.5159,28.6,74,96,6.68,TK,1689533733
7,merizo village,13.2658,144.6691,26.31,95,98,5.52,GU,1689533734
8,bredasdorp,-34.5322,20.0403,13.63,82,100,2.7,ZA,1689533534
9,constantia,44.1833,28.65,24.38,67,0,4.7,RO,1689533576
10,wailua homesteads,22.0669,-159.378,25.44,75,75,7.2,US,1689533734
11,grytviken,-54.2811,-36.5092,-5.78,69,19,2.25,GS,1689533545
12,punta arenas,-53.15,-70.9167,4.06,81,75,5.14,CL,1689533734
13,calvinia,-31.4707,19.776,12.26,57,100,1.02,ZA,1689533734
14,port-aux-francais,-49.35,70.2167,2.0,54,92,12.92,TF,1689533525
15,college,64.8569,-147.8028,18.93,73,100,1.54,US,1689533617
16,whitehorse,60.7161,-135.0538,22.28,42,20,6.17,CA,1689533553
17,winsted,41.9212,-73.0601,24.38,97,100,0.45,US,1689533735
18,oroqen zizhiqi,50.5667,123.7167,15.13,78,46,1.04,CN,1689533735
19,egbe,8.2167,5.5167,23.58,92,98,1.17,NG,1689533735
20,sur,22.5667,59.5289,31.98,57,56,4.59,OM,1689533735
21,aktobe,50.2797,57.2072,19.05,63,40,6.0,KZ,1689533735
22,moose jaw,50.4001,-105.5344,20.14,52,100,3.6,CA,1689533735
23,hawaiian paradise park,19.5933,-154.9731,26.13,90,75,2.57,US,1689533530
24,margaret river,-33.95,115.0667,15.69,80,62,6.64,AU,1689533735
25,bethel,41.3712,-73.414,25.47,88,100,2.86,US,1689533316
26,aqsay,51.1678,52.995,15.95,84,100,7.27,KZ,1689533736
27,avarua,-21.2078,-159.775,22.03,73,100,1.54,CK,1689533578
28,ushuaia,-54.8,-68.3,4.81,65,40,1.03,AR,1689533565
29,katsuura,35.1333,140.3,24.39,93,100,2.87,JP,1689533663
30,rameswaram,9.2833,79.3,28.79,82,84,5.23,IN,1689533736
31,iqaluit,63.7506,-68.5145,8.85,93,100,2.06,CA,1689533598
32,edinburgh of the seven seas,-37.0676,-12.3116,13.01,78,10,13.04,SH,1689533525
33,sos'va,59.1766,61.8558,13.39,73,58,2.22,RU,1689533736
34,hermanus,-34.4187,19.2345,11.56,87,100,3.74,ZA,1689533737
35,dryden,49.7833,-92.7503,15.16,94,100,1.54,CA,1689533737
36,lebu,-37.6167,-73.65,9.7,63,100,7.32,CL,1689533650
37,saldanha,-33.0117,17.9442,13.03,90,100,2.6,ZA,1689533549
38,stanley,54.868,-1.6985,16.77,70,20,7.2,GB,1689533561
39,callao,-12.0667,-77.15,23.16,64,100,4.63,PE,1689533509
40,new norfolk,-42.7826,147.0587,12.73,67,90,4.88,AU,1689533737
41,koungheul,13.9833,-14.8,30.59,62,100,2.1,SN,1689533737
42,puerto natales,-51.7236,-72.4875,6.25,56,75,8.75,CL,1689533538
43,jamestown,42.097,-79.2353,27.79,61,75,4.12,US,1689533608
44,polyarnyy,69.1989,33.4478,13.72,83,92,1.34,RU,1689533738
45,byron bay,-28.65,153.6167,13.17,88,38,4.03,AU,1689533725
46,talnakh,69.4865,88.3972,5.67,91,100,1.23,RU,1689533708
47,howrah,22.5892,88.3103,28.0,94,40,2.57,IN,1689533685
48,tolanaro,-25.0319,46.9987,22.04,68,20,8.23,MG,1689533569
49,lompoc,34.6391,-120.4579,32.08,70,0,3.09,US,1689533702
50,upata,8.0086,-62.3989,31.22,37,92,2.44,VE,1689533738
51,crane,31.3974,-102.3501,36.41,19,34,5.24,US,1689533739
52,east london,-33.0153,27.9116,12.52,87,0,2.06,ZA,1689533739
53,dzuunharaa,48.8523,106.4579,16.01,87,57,2.1,MN,1689533739
54,san antonio de pale,-1.4014,5.6325,23.06,81,5,5.14,GQ,1689533530
55,praia da vitoria,38.7333,-27.0667,23.2,73,75,5.9,PT,1689533549
56,ribeira grande,38.5167,-28.7,23.22,64,40,5.66,PT,1689533575
57,al jawf,29.5,38.75,34.16,11,5,3.57,SA,1689533606
58,fria,10.4167,-13.5833,26.23,95,100,1.87,GN,1689533739
59,laguna,38.421,-121.4238,41.71,32,0,0.45,US,1689533687
60,papatowai,-46.5619,169.4708,9.53,80,44,7.12,NZ,1689533608
61,skhira,34.2992,10.07,38.82,44,0,4.55,TN,1689533740
62,bardai,11.65,7.2333,29.17,47,9,2.62,NG,1689533740
63,suva,-18.1416,178.4415,20.71,94,75,3.09,FJ,1689533740
64,nuuk,64.1835,-51.7216,9.34,100,100,1.54,GL,1689533740
65,invercargill,-46.4,168.35,8.31,88,53,6.13,NZ,1689533260
66,longyearbyen,78.2186,15.6401,9.91,81,0,5.66,SJ,1689533650
67,kingaroy,-26.5333,151.8333,13.26,88,99,2.1,AU,1689533740
68,vorkuta,67.5,64.0,14.03,90,72,2.41,RU,1689533740
69,worcester,42.3334,-71.8328,24.75,97,100,5.66,US,1689533741
70,las khorey,11.1595,48.1967,31.94,56,17,4.2,SO,1689533741
71,valparaiso,-33.0393,-71.6273,18.13,62,0,5.14,CL,1689533658
72,san patricio,28.017,-97.5169,38.98,30,30,6.85,US,1689533741
73,minas de marcona,-15.2119,-75.1103,18.19,56,12,5.15,PE,1689533741
74,mori,34.8333,137.9333,24.13,94,25,0.78,JP,1689533741
75,touros,-5.1989,-35.4608,27.45,68,15,7.66,BR,1689533581
76,saint-philippe,-21.3585,55.7679,21.77,86,45,6.18,RE,1689533574
77,nieuw amsterdam,5.8833,-55.0833,33.34,62,40,1.03,SR,1689533741
78,egilsstadir,65.2653,-14.3948,7.95,87,75,1.54,IS,1689533742
79,itamaraca,-7.7478,-34.8256,23.03,81,25,5.37,BR,1689533658
80,ratnagiri,16.9833,73.3,26.41,86,100,3.37,IN,1689533469
81,afaahiti,-17.75,-149.2833,24.93,64,5,1.97,PF,1689533541
82,chonchi,-42.6128,-73.8092,7.84,61,6,2.04,CL,1689533638
83,nikolayevsk-on-amure,53.1406,140.73,12.83,86,100,1.39,RU,1689533616
84,bamboo flat,11.7,92.7167,28.05,83,75,6.17,IN,1689533742
85,chernyshevsk,52.5243,117.0174,16.9,65,1,0.44,RU,1689533742
86,west island,-12.1568,96.8225,24.99,69,75,4.63,CC,1689533537
87,kharp,66.8014,65.8081,17.05,69,86,2.08,RU,1689533743
88,sept-iles,50.2001,-66.3821,20.59,92,100,5.14,CA,1689533521
89,bereznik,62.8551,42.7072,18.58,67,96,1.49,RU,1689533743
90,kruisfontein,-34.0033,24.7314,13.45,56,26,2.07,ZA,1689533599
91,nova vicosa,-17.8919,-39.3719,24.32,71,80,3.67,BR,1689533743
92,anadarko,35.0726,-98.2437,31.45,47,1,3.97,US,1689533743
93,auxerre,47.8,3.5667,22.02,35,8,5.34,FR,1689533743
94,happy valley-goose bay,53.3168,-60.3315,27.17,50,75,4.12,CA,1689533563
95,port elizabeth,-33.918,25.5701,15.16,82,0,3.09,ZA,1689533698
96,male,4.1748,73.5089,27.97,83,75,4.12,MV,1689533744
97,kupiskis,55.8333,24.9667,20.33,88,100,6.21,LT,1689533744
98,okhotsk,59.3833,143.3,13.97,90,100,0.87,RU,1689533744
99,loen,7.7601,168.2307,28.05,72,87,6.64,MH,1689533744
100,lubang,13.8584,120.124,28.35,82,100,12.62,PH,1689533744
101,garissa,-0.4536,39.6401,24.61,63,99,9.62,KE,1689533745
102,puerto ayora,-0.7393,-90.3518,29.98,88,60,3.13,EC,1689533745
103,nadym,65.5333,72.5167,13.03,64,14,5.59,RU,1689533745
104,richards bay,-28.783,32.0377,17.93,85,0,1.94,ZA,1689533745
105,klyuchi,52.2667,79.1667,15.86,78,9,3.69,RU,1689533669
106,mahina,-17.5065,-149.489,25.87,65,20,3.09,PF,1689533746
107,saipan,15.1355,145.701,28.14,100,0,4.12,MP,1689533615
108,bodaybo,57.8506,114.1933,13.87,83,0,1.28,RU,1689533747
109,yellowknife,62.456,-114.3525,21.29,52,100,6.17,CA,1689533571
110,marquette,46.5333,-87.6335,21.69,70,98,2.47,US,1689533747
111,kyzyl,51.7,94.45,16.36,77,4,2.39,RU,1689533717
112,amos,48.5669,-78.1162,26.53,46,30,1.21,CA,1689533745
113,upington,-28.4478,21.2561,17.21,25,0,2.06,ZA,1689533748
114,padang,-0.9492,100.3543,24.03,88,53,1.57,ID,1689533600
115,taulaga,-11.0553,-171.0883,28.04,74,45,6.98,AS,1689533748
116,sao gabriel da cachoeira,-0.1303,-67.0892,28.25,85,35,1.46,BR,1689533748
117,abu zabad,12.35,29.25,30.48,47,6,4.08,SD,1689533748
118,tiksi,71.6872,128.8694,4.66,93,100,2.59,RU,1689533691
119,iskateley,67.6803,53.1512,16.0,84,36,4.06,RU,1689533564
120,qaqortoq,60.7167,-46.0333,6.4,93,100,2.1,GL,1689533560
121,port blair,11.6667,92.75,28.02,83,75,6.17,IN,1689533749
122,mo i rana,66.3128,14.1428,15.74,92,75,3.13,NO,1689533749
123,undurkhaan,47.3194,110.6556,20.13,42,78,2.32,MN,1689533749
124,olonkinbyen,70.9221,-8.7187,4.23,96,100,9.94,SJ,1689533571
125,wenchang,30.904,118.4887,23.21,98,100,1.83,CN,1689533749
126,sutherlin,43.3901,-123.3126,29.48,32,0,3.6,US,1689533749
127,kailua-kona,19.6406,-155.9956,27.38,78,40,3.09,US,1689533749
128,fortuna,40.5982,-124.1573,16.48,91,100,5.14,US,1689533749
129,lihue,21.9789,-159.3672,25.77,71,75,7.2,US,1689533553
130,jayapura,-2.5333,140.7,23.66,92,100,1.73,ID,1689533750
131,bandarbeyla,9.4942,50.8122,24.08,84,92,14.16,SO,1689533750
132,weno,7.4515,151.8468,27.97,89,75,3.6,FM,1689533750
133,shalya,57.2471,58.7298,11.26,98,82,2.43,RU,1689533623
134,broken hill,-31.95,141.4333,6.45,63,1,4.09,AU,1689533750
135,dudinka,69.4058,86.1778,5.9,80,99,3.49,RU,1689533550
136,coquimbo,-29.9533,-71.3436,15.85,77,0,3.09,CL,1689533516
137,port alfred,-33.5906,26.891,16.74,54,53,3.59,ZA,1689533751
138,maua,-23.6678,-46.4614,24.89,39,35,2.48,BR,1689533751
139,ungsang-nodongjagu,42.3578,130.4622,16.84,98,100,2.26,KP,1689533751
140,dunedin,-45.8742,170.5036,8.78,53,10,0.89,NZ,1689533657
141,sinazongwe,-17.2614,27.4618,17.95,49,0,2.12,ZM,1689533751
142,tucumcari,35.1717,-103.725,29.97,51,0,6.17,US,1689533751
143,banamba,13.55,-7.45,31.61,40,100,3.59,ML,1689533752
144,albany,42.6001,-73.9662,27.23,79,100,2.3,US,1689533550
145,lodwar,3.1191,35.5973,29.63,37,74,2.88,KE,1689533752
146,port lincoln,-34.7333,135.8667,8.73,73,0,3.09,AU,1689533597
147,riyadh,24.6877,46.7219,38.08,7,16,4.59,SA,1689533753
148,jiangkou,25.4872,119.1986,25.83,93,100,2.45,CN,1689533753
149,port mathurin,-19.6833,63.4167,23.26,73,0,12.27,MU,1689533753
150,kudahuvadhoo,2.6708,72.8944,28.09,76,27,4.65,MV,1689533753
151,mana,5.6592,-53.7767,28.54,77,9,5.18,GF,1689533753
152,saint croix,17.7397,-64.7388,28.25,84,40,5.66,VI,1689533753
153,flying fish cove,-10.4217,105.6791,23.82,88,100,5.66,CX,1689533544
154,narrabri,-30.3167,149.7833,10.85,81,76,0.45,AU,1689533754
155,seabra,-12.4186,-41.7703,27.3,37,7,5.2,BR,1689533754
156,choyr,46.3611,108.3611,19.98,40,46,4.92,MN,1689533754
157,haiku-pauwela,20.9219,-156.3051,26.76,63,40,5.14,US,1689533563
158,uturoa,-16.7333,-151.4333,25.67,67,1,3.74,PF,1689533552
159,namibe,-15.1961,12.1522,19.38,83,0,2.0,AO,1689533754
